x,y,lw_95c,up_95c,lw_95p,up_95p
0.9824222,2.406961367,1.930580763,2.883341971,1.099648988,3.714273746
1.365755785,2.381209169,1.919215431,2.843202906,1.079070393,3.683347944
1.74908937,2.355745041,1.907710125,2.803779958,1.058493152,3.65299693
2.132422955,2.330565762,1.896064854,2.76506667,1.037925744,3.62320578
2.515756541,2.305668145,1.884279548,2.727056742,1.017376436,3.593959854
2.899090126,2.281049039,1.872353933,2.689744145,0.996853234,3.565244845
3.282423711,2.256705329,1.860287743,2.653122915,0.976363938,3.537046721
3.665757296,2.232633934,1.848080496,2.617187373,0.955916063,3.509351806
4.049090882,2.208831808,1.835731643,2.581931974,0.935516878,3.482146738
4.432424467,2.185295939,1.823240672,2.547351205,0.915173428,3.45541845
4.815758052,2.162023348,1.810606899,2.513439797,0.894892456,3.42915424
5.199091637,2.13901109,1.797829714,2.480192467,0.874680474,3.403341707
5.582425223,2.116256254,1.784908537,2.44760397,0.854543733,3.377968775
5.965758808,2.093755959,1.771842764,2.415669154,0.834488203,3.353023715
6.349092393,2.071507358,1.758632084,2.384382632,0.814519644,3.328495072
6.732425978,2.049507636,1.745276085,2.353739186,0.794643494,3.304371777
7.115759564,2.027754008,1.731774681,2.323733335,0.774864971,3.280643045
7.499093149,2.006243722,1.718128171,2.294359274,0.755189068,3.257298377
7.882426734,1.984974056,1.704336912,2.265611201,0.73562047,3.234327643
8.265760319,1.963942318,1.690401809,2.237482827,0.716163657,3.211720979
8.649093904,1.943145847,1.67632415,2.209967543,0.696822857,3.189468836
9.03242749,1.92258201,1.662105725,2.183058294,0.677602061,3.167561958
9.415761075,1.902248205,1.647748881,2.156747529,0.658505031,3.145991379
9.79909466,1.88214186,1.633256568,2.131027152,0.639535299,3.124748421
10.18242825,1.86226043,1.618632391,2.105888468,0.620696175,3.103824684
10.56576183,1.842601398,1.603880673,2.081322123,0.601990758,3.083212039
10.94909542,1.823162278,1.589006459,2.057318096,0.583421932,3.062902623
11.332429,1.803940608,1.574015537,2.03386568,0.564992379,3.042888838
11.71576259,1.784933958,1.558914469,2.010953447,0.546704582,3.023163333
12.09909617,1.76613992,1.543710559,1.988569282,0.528560833,3.003719008
12.48242976,1.747556118,1.528411842,1.966700394,0.510563236,2.984549
12.86576334,1.729180199,1.513027041,1.945333356,0.492713715,2.965646682
13.24909693,1.711009837,1.497565529,1.924454146,0.475014024,2.94700565
13.63243051,1.693042734,1.482037239,1.90404823,0.457465745,2.928619723
14.0157641,1.675276616,1.466452612,1.88410062,0.440070301,2.910482931
14.39909768,1.657709234,1.450822492,1.864595977,0.422828956,2.892589512
14.78243127,1.640338366,1.435158056,1.845518676,0.40574283,2.874933901
15.16576485,1.623161812,1.419470691,1.826852934,3.89E-01,2.85751073
15.54909844,1.6061774,1.40377192,1.808582881,3.72E-01,2.840314814
15.93243202,1.58938298,1.388073288,1.790692673,0.355424809,2.823341152
16.31576561,1.572776427,1.37238628,1.773166575,0.338967938,2.806584916
16.69909919,1.556355639,1.356722234,1.755989045,0.322669831,2.790041447
17.08243278,1.540118539,1.341092243,1.739144834,0.306530827,2.77370625
17.46576636,1.52406307,1.32550712,1.722619021,0.290551156,2.757574984
17.84909995,1.508187203,1.309977302,1.706397103,0.274730944,2.741643461
