Cum_N2O_annual,Yieldsc_N2O_annual,YieldGap_annual
0.152,0.026206897,12.563
0.349,0.047808219,11.063
0.333,0.0444,10.863
0.427,0.047444444,9.363
0.83,0.091208791,9.263
0.991,0.115232558,9.763
0.119,0.018888889,12.063
0.227,0.030675676,10.963
0.157,0.020933333,10.863
0.274,0.033414634,10.163
0.654,0.074318182,9.563
0.875,0.100574713,9.663
0.391071429,0.394026628,17.3705
1.173214286,0.82475521,16.9405
1.890178571,0.715299365,15.7205
2.617676768,0.273815561,8.803
2.47020202,0.311108567,10.423
2.322727273,0.251922698,9.143
2.285858586,0.250477601,9.237
2.986363636,0.332113394,9.371
0.64,0.108088943,12.44195034
0.11,0.014193751,10.61311062
1.1,0.143001653,10.6707812
1.668571429,3.476190476,17.883
2.711428571,3.15282392,17.503
2.137857143,1.388218924,16.823
1.825,1.169871795,16.803
1.355714286,1.255291005,17.283
1.407857143,1.380252101,17.343
1.095438175,0.215637436,8.203
1.525788887,0.231180134,5.163
1.604034471,0.228494939,4.323
1.486666095,0.217348844,4.683
3.129823358,0.586109243,7.683
4.538243869,0.667388804,4.763
4.851226205,0.630029377,2.963
4.616489453,0.596445666,2.883
3.638419654,0.506743684,4.003
3.873156405,0.47935104,2.203
3.990524781,0.452440451,0.723
4.029647573,0.441847322,0.123
7.668067227,1.124350033,4.723
8.411400274,1.062045489,2.523
8.646137026,1.041703256,1.763
8.685259818,1.012268044,1.203
2.058974359,0.24626916,10.00233333
2.890883191,0.188856095,3.055666667
3.878774929,0.241037468,2.271
4.377920228,0.248971806,0.779
2.87008547,0.27151414,7.792333333
3.710833333,0.448168277,1.803
1.155833333,0.284688013,10.243
3.163333333,0.609505459,7.983
1.825,0.336715867,7.523
6.3875,0.959084084,5.043
0.973333333,0.412429379,13.643
2.19,0.259786477,1.503
0.669166667,0.13120915,8.163
3.285,0.417938931,2.643
1.703333333,0.272970085,5.883
2.7375,0.310726447,0.743
2.0075,0.268741633,3.423
1.399166667,0.179380342,2.763
0.98,5.444444444,18.183
1.34,2.161290323,17.743
2.49,0.51659751,13.543
1.86,4.227272727,17.923
0.4,0.107954194,14.65772477
0.5,0.111537478,13.88020183
0.6,0.130246453,13.75634862
0.7,0.123313131,12.6863945
0.4,0.075302245,13.05107339
